COMP_ID,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,PLATFORM,RI,MASS,CAS,PUBCHEM,KEGG,                                      Group HMDB,LST.003.pre,LST.014.pre,LST.016.pre,LST.019.pre,LST.012.pre,LST.021.pre,LST.026.pre,STS.007.pre,LST.013.pre,LST.017.pre,LST.018.pre,LST.020.pre,LST.022.pre,STS.009.pre,LST.003.post,LST.014.post,LST.016.post,LST.019.post,LST.012.post,LST.021.post,LST.026.post,STS.007.post,LST.013.post,LST.017.post,LST.018.post,LST.020.post,LST.022.post,STS.009.post
38002,"1,2-propanediol",Lipid,Ketone bodies,GC/MS,1041,117,57-55-6;,,C02917,HMDB01881,0.72162,2.874948,0.911934,0.830811,0.631527,4.20262,18.105484,3.511154,0.830454,0.753565,0.958914,3.963812,3.256284,1.273713,0.694956,1.296347,0.800682,0.705196,0.994724,6.023381,25.46911,4.244468,0.629753,0.821566,0.804077,5.932132,3.710407,0.701088
20675,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",GC/MS,1788.7,217,154-58-5;,,C07326,HMDB02712,1.273773,0.948174,1.019093,1.088479,0.990752,0.98468,0.883292,1.048571,1.085075,0.905224,0.529388,1.365795,0.782911,0.901305,1.295018,1.009248,1.010998,1.110724,1.126907,1.105132,0.903175,1.124736,1.101208,0.939735,0.582028,1.191701,0.830163,0.940405
34400,"1,7-dimethylurate",Xenobiotics,Xanthine metabolism,LC/MS Neg,1607,195.1,33868-03-0;,91611,C16356,HMDB11103,0.515778,1.15324,0.462273,0.462273,0.462273,0.462273,0.462273,0.462273,0.462273,1.284301,1.516503,0.462273,0.462273,1,0.462273,0.965141,0.589967,0.462273,0.462273,0.462273,0.462273,0.462273,0.462273,0.934953,0.944478,0.462273,0.462273,1.356417
33228,1-arachidonoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5554,544.3,,,C05208,,1.014506,0.574974,1.011153,0.932952,0.696493,1.566165,1.039034,0.790054,1.004042,0.683822,0.572932,1.162087,0.995958,1.095798,0.896347,0.491174,1.140885,0.989726,0.852635,1.812546,0.726084,1.156707,1.033137,0.824066,1.13579,1.008493,1.097145,1.259999
35186,1-arachidonoylglycerophosphoethanolamine*,Lipid,Lysolipid,LC/MS Neg,5731,500.3,,,,HMDB11517,0.8088,0.700253,1.007623,1.017873,0.580464,1.102922,0.91965,1.632724,1.321796,0.54301,0.802642,1.360116,0.652074,1.584404,0.819554,0.957293,0.87417,1.440036,0.792728,1.091119,1.496203,1.726086,1.178455,0.838372,1.542732,1.088468,0.992377,0.844012
34214,1-arachidonoylglycerophosphoinositol*,Lipid,Lysolipid,LC/MS Neg,5479,619.4,,,,,1.14412,0.880745,1.002163,1.448266,0.861379,1.300677,1.0794,1.032056,1.156806,0.703191,0.803436,0.902847,0.914628,1.197692,0.997837,0.750928,1.164282,1.454011,0.578997,1.046947,1.727038,0.878058,0.917153,0.609016,0.80696,0.977983,0.870011,1.539071
33822,1-docosahexaenoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5518,568.4,,,,,0.922598,0.797351,1.157261,0.874832,0.886595,1.303005,1.088601,0.877841,1.12245,0.772099,0.691103,0.998089,1.159359,1.213704,0.870054,1.001911,1.524797,1.108116,1.096394,1.339326,0.936735,0.89384,1.020441,0.957135,0.988692,1.100624,1.135591,1.588032
37231,1-docosapentaenoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5584,570.4,,,,,0.348352,0.675862,0.977577,1.229976,0.490778,3.017614,0.936578,1.038232,1,0.248971,0.248971,1.729404,1.323704,1.608327,0.554147,0.284367,1.038529,1.382645,0.248971,2.943807,1.497119,1.827641,0.887715,0.934368,0.788703,1.817632,0.710786,2.712004
33871,1-eicosadienoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5696,548.3,,,,,0.996514,0.422334,1.071251,0.380589,0.291432,0.291432,1.149273,1.124551,1.540591,0.291432,0.291432,0.623419,0.780879,1.596258,0.291432,1.084149,1.872765,0.557065,0.291432,1.481595,0.726305,0.291432,0.632638,0.984552,0.837563,2.039253,1.003486,1.084155
33821,1-eicosatrienoylglycerophosphocholine*,Lipid,Lysolipid,LC/MS Pos,5600,546.4,,,,,1.032818,0.565361,1.613027,0.728083,1.020949,1.528091,1.332111,1.10698,0.804554,0.690505,0.539282,0.813175,1.187109,1.197339,0.773108,0.770195,1.792115,0.67621,1.435197,1.538179,0.979051,1.387711,0.72591,0.908961,1.268116,0.613317,1.193258,1.539193
33957,1-heptadecanoylglycerophosphocholine,Lipid,Lysolipid,LC/MS Pos,5750,510.4,50930-23-9;,,,HMDB12108,0.265877,0.265877,0.265877,0.698122,1.163581,1.206871,1.017343,0.265877,0.265877,0.79155,0.265877,0.265877,0.265877,2.428245,0.908006,0.265877,1,0.815731,0.265877,2.825446,0.265877,1.176632,0.265877,0.305943,0.265877,3.767448,0.906944,1.551375
34419,1-linoleoylglycerophosphocholine,Lipid,Lysolipid,LC/MS Pos,5574,520.4,,11988421,C04100,,0.822528,0.851825,1.557867,0.987302,0.698395,1.009524,0.786538,1.578633,0.990476,1.073005,0.699054,1.583267,0.957351,1.04745,0.769935,0.840486,1.488214,0.97514,1.05239,1.076556,0.797555,1.450508,1.10038,0.951864,1.158729,1.908091,1.091512,1.163898
32635,1-linoleoylglycerophosphoethanolamine*,Lipid,Lysolipid,LC/MS Neg,5725,476.3,,,,HMDB11507,0.463078,0.966794,1.451182,1.038548,0.408198,0.958913,0.843083,1.784921,1.099963,0.998275,0.879886,1.659445,0.580636,1.45053,0.613131,0.893804,0.97876,1.043417,0.64818,0.660457,1.514772,2.3945,1.142868,0.835615,1.536658,1.590961,1.026607,1.001725
35626,1-myristoylglycerophosphocholine,Lipid,Lysolipid,LC/MS Pos,5481,468.3,20559-16-4;,460604,,HMDB10379,1.206595,1.294275,1.439473,0.498951,0.598594,0.84539,1.010049,0.745093,1.247409,0.742514,1.098828,0.884191,0.950347,1.085884,0.989951,1.247538,1.225202,0.436745,0.88421,1.17336,0.355683,0.780944,1.235864,0.666782,1.194384,1.257643,1.393343,1.071794
33960,1-oleoylglycerophosphocholine,Lipid,Lysolipid,LC/MS Pos,5700,522.4,19420-56-5;,16081932,,,1.568124,0.746846,1.770758,0.840684,0.978652,1.519134,1.04339,1.762696,1.234002,0.835448,0.661141,1.216741,0.931187,2.275053,0.881492,1.011484,2.209472,0.988515,0.890823,2.287469,0.628263,1.418859,0.86168,0.960692,0.774758,2.560404,1.289372,1.612373
35628,1-oleoylglycerophosphoethanolamine,Lipid,Lysolipid,LC/MS Neg,5928,478.3,,9547071,,HMDB11506,0.702844,0.994175,1.17161,1.005825,0.366931,1.181529,0.663126,2.051261,1.335083,1.150796,0.907653,1.809905,0.692047,1.181897,0.806355,0.775419,0.745073,0.779795,0.46241,0.792972,1.230831,2.17097,1.148935,0.57649,1.173465,2.158072,0.914691,1.188573
