	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28
Adipocytes	0.219663333333333	0.584493333333333	0.0449133333333334	0.893536666666667	0.0232599999999999	0.612623333333333	0.0948066666666667	0.000913333333333322	0.19761	0.46047	0.0798266666666667	0.20013	0.564836666666667	1	0.0228566666666666	1	0.0408133333333334	1	1	0.05371	0.378803333333333	0.179443333333333	0.227146666666667	0.81771	0.939066666666667	0.209786666666667	0.104476666666667	0.636833333333333
Astrocytes	1	0.317876666666667	0.226616666666667	0.160176666666667	0.15077	0.247153333333333	0.239823333333333	1	1	1	0.266326666666667	0.15842	0.28254	1	0.276963333333333	0.16432	0.242403333333333	0.194643333333333	0.28077	0.269463333333333	0.09884	0.273186666666667	0.311206666666667	0.19981	0.235513333333333	0.106273333333333	0.312913333333333	1
B-cells	0	0.441723333333333	0.399453333333333	0.0133799999999999	1	0.000156666666666694	0	1	0.115206666666667	0	1	0.00523666666666667	0	0	0	1	1	0.00992999999999999	0.06241	0.00183666666666671	0.00523666666666667	0.149986666666667	0.406523333333333	0	1	0	0	0
Basophils	0.188836666666667	1	0.165296666666667	0.731736666666667	0.34061	0.156703333333333	0.214203333333333	0.163633333333333	0.436836666666667	0.522863333333333	1	0.176326666666667	0.50223	1	0.110013333333333	0.803923333333333	0.0614400000000001	0.13162	1	0.30215	0.13993	0.142396666666667	0.647026666666667	0.419963333333333	1	0.251723333333333	0.497626666666667	1
CD4+ T-cells	2.66666666666193e-05	0.176453333333333	0.488956666666667	1	0.15848	0.648416666666667	0.172936666666667	0.34163	0	0.0358933333333333	1	0.0775466666666667	0.00334000000000001	0	0.1788	0.498483333333333	1	1	0.02525	1	0.10431	0.103853333333333	0	0.404633333333333	1	0.0255866666666666	0	0
CD4+ Tcm	1	1	1	1	0.175	1	1	0.341883333333333	0.00256000000000001	0.61509	1	0.0110133333333333	0.08244	0.06289	0.167613333333333	1	1	1	0.0546833333333333	1	1	0.642063333333333	0.10942	1	1	0.180616666666667	0.0216966666666667	0.0728233333333334
CD4+ Tem	0.163613333333333	0.546693333333333	1	1	0.503226666666667	1	0.0407233333333333	0.824803333333333	0.519243333333333	1	1	1	0.26215	0.06677	0.44339	0.607023333333333	1	1	0.397686666666667	1	0.111026666666667	0.39201	0.855483333333333	1	1	1	0.409463333333333	0.133743333333333
CD4+ memory T-cells	0.0219166666666667	0.40878	0.722786666666667	1	0.610236666666667	1	0.354456666666667	0.849276666666667	0.0449366666666666	0.435963333333333	1	0.782226666666667	0.0925066666666666	0	0.289136666666667	0.8328	1	1	0.123813333333333	1	0.181173333333333	0.47416	0.0349733333333333	0.642666666666667	1	0.23628	0.0659133333333334	0
CD4+ naive T-cells	0.419993333333333	0.859273333333333	1	1	0.28005	1	1	0.509513333333333	0.0125133333333334	0.05124	1	0.0416266666666667	0.248296666666667	0.0237466666666667	1	1	1	1	0.113846666666667	1	1	0.21107	0.0853033333333333	0.679733333333333	1	0.03338	0.0743066666666666	0.0335066666666667
CD8+ T-cells	0.0787933333333334	1	1	1	1	1	0.195476666666667	0.601383333333333	0	0.2728	1	0.0101766666666666	0.14313	0.01709	0.52074	1	1	1	1	1	0.317056666666667	0.0351366666666667	0.0102633333333333	1	1	0.0311233333333333	0.0490233333333333	0.111973333333333
