	LST.003.pre	LST.014.pre	LST.016.pre	LST.019.pre	LST.012.pre	LST.021.pre	LST.026.pre	STS.007.pre	LST.013.pre	LST.017.pre	LST.018.pre	LST.020.pre	LST.022.pre	STS.009.pre	LST.003.post	LST.014.post	LST.016.post	LST.019.post	LST.012.post	LST.021.post	LST.026.post	STS.007.post	LST.013.post	LST.017.post	LST.018.post	LST.020.post	LST.022.post	STS.009.post
Adipocytes	0.0198	0.0085	0.0302	0.0016	0.034	0.0078	0.0259	0.0441	0.0207	0.0118	0.0269	0.0206	0.009	0	0.0341	0	0.0308	0	0	0.0291	0.0142	0.0215	0.0195	0.0031	8e-04	0.0202	0.0253	0.0072
Astrocytes	0	0.0058	0.0197	0.0303	0.0319	0.0165	0.0176	0	0	0	0.0135	0.0306	0.0109	0	0.0118	0.0296	0.0172	0.0247	0.0112	0.013	0.0417	0.0124	0.0065	0.0239	0.0183	0.0402	0.0063	0
B-cells	0.1713	0.0114	0.0131	0.0592	0	0.0858	0.0958	0	0.0313	0.1098	0	0.0696	0.1006	0.1942	0.1435	0	0	0.0629	0.0386	0.0773	0.0696	0.0279	0.0128	0.0927	0	0.0953	0.1103	0.178
Basophils	0.0999	0	0.1138	0.0101	0.0528	0.1199	0.0873	0.1149	0.0377	0.0275	0	0.1068	0.0297	0	0.1575	0.006	0.2041	0.1395	0	0.0606	0.1329	0.131	0.0161	0.0401	0	0.0737	0.0302	0
CD4+ T-cells	0.1724	0.0937	0.0445	0	0.0969	0.0099	0.0943	0.0675	0.2237	0.1318	0	0.1146	0.1578	0.2792	0.0933	0.0429	0	0	0.1377	0	0.1078	0.1079	0.1922	0.058	0	0.1375	0.1865	0.2484
CD4+ Tcm	0	0	0	0	0.0243	0	0	0.0137	0.0764	0.0046	0	0.0635	0.0375	0.0419	0.025	0	0	0	0.044	0	0	0.004	0.0324	0	0	0.0238	0.0563	0.0396
CD4+ Tem	0.0705	0.0236	0	0	0.0281	0	0.0963	0.0034	0.0264	0	0	0	0.0569	0.089	0.0347	0.0178	0	0	0.04	0	0.0792	0.0407	0.0023	0	0	0	0.0386	0.0753
CD4+ memory T-cells	0.2573	0.1047	0.0511	0	0.0706	0	0.1144	0.0273	0.2301	0.0999	0	0.0403	0.1908	0.4041	0.1269	0.0306	0	0	0.1745	0	0.1532	0.0934	0.2409	0.0651	0	0.1382	0.2106	0.3452
CD4+ naive T-cells	0.0305	0.0045	0	0	0.0429	0	0	0.0239	0.1153	0.0836	0	0.0899	0.0462	0.1046	0	0	0	0	0.065	0	0	0.0505	0.0713	0.0133	0	0.0962	0.0744	0.0961
CD8+ T-cells	0.0557	0	0	0	0	0	0.0398	0.01	0.1176	0.0318	0	0.0845	0.0461	0.078	0.014	0	0	0	0	0	0.0279	0.066	0.0844	0	0	0.0682	0.0618	0.0504
