	LST.003.pre	LST.014.pre	LST.016.pre	LST.019.pre	LST.012.pre	LST.021.pre	LST.026.pre	STS.007.pre	LST.013.pre	LST.017.pre	LST.018.pre	LST.020.pre	LST.022.pre	STS.009.pre	LST.003.post	LST.014.post	LST.016.post	LST.019.post	LST.012.post	LST.021.post	LST.026.post	STS.007.post	LST.013.post	LST.017.post	LST.018.post	LST.020.post	LST.022.post	STS.009.post
Adipocytes	263.623678409753	182.981056557369	384.438637896416	273.854139391592	433.154715131576	296.569596769982	439.446385754597	470.164345961572	347.900286334362	270.546479121963	440.620998320357	416.396441645407	218.180733591211	13.9850900785449	391.373289975613	151.508989990147	463.531010784465	354.80862652002	165.204839735764	391.489244039528	298.781478732588	334.61602431127	283.201167011564	166.219688885443	230.69535146096	252.073295732678	314.584244727411	186.471215663238
Astrocytes	146.416361348588	310.164858389321	434.622892592314	507.531477130335	592.93434584078	342.965994123754	402.72033942037	511.219554927262	313.008761395913	337.952436445349	532.605630584435	692.244591401303	341.604464886363	0	406.215722559104	446.102894058074	596.745265934071	611.484304164106	344.868977690334	379.90715640957	502.78709940807	468.266697257543	290.564911326859	348.7542796592	465.450316573277	459.754432245696	295.492173634074	246.461603809369
B-cells	1090.00731739071	420.636892905302	404.225602758134	673.751527290651	573.905709625185	679.397695295141	846.965086397955	18.0819565244973	335.865114605616	750.689836320172	175.172541768877	634.820446029608	673.623397701219	1143.3447407856	973.332216105954	307.020399178131	336.095442736276	683.782193248801	683.87786926725	598.794738427223	759.450823569509	310.222846649689	269.938199508357	701.893076052572	208.327481125175	762.711591159574	680.546310380647	1167.27908021271
Basophils	329.288817942815	249.789524942161	406.203351222268	279.574927539191	430.850540250552	381.885681173184	404.729685854858	417.213728710435	284.882253962243	261.925059225418	458.108051310206	348.462120548144	272.683504820944	59.0100196654481	420.233700284661	316.740738242336	551.80668731144	411.535238427023	299.71575582126	323.450559868342	469.118570268252	381.162370082654	288.591382084773	310.73486242256	436.369290305451	334.808335121398	240.888108966836	149.338375685965
CD4+ T-cells	702.144225813609	451.231710463033	295.619264507098	199.119285943128	472.47053033238	248.362557468522	460.495222964017	418.642033372264	888.561012340334	596.021464183762	36.3482666720438	503.625116771409	674.606124836076	972.17681328841	487.170527321135	318.982268300615	50.106860924554	214.030383083302	584.08067373989	183.279618963383	500.313948554702	528.091164705332	810.258011828808	439.330548358086	163.545921877147	604.505696261789	731.569510221512	852.821725575507
CD4+ Tcm	294.899754224065	213.45596016716	111.017227942498	122.730166567576	261.915220690949	150.02397176437	227.618674060068	232.23033683616	519.160784778259	268.500143632603	37.2650382961351	392.535872173434	376.741519030293	428.928871922704	271.566054033871	116.824175983409	101.059291426818	176.453380002656	322.387166621057	96.8847400043144	248.557438632698	274.305627669707	391.429313056928	130.566853879168	91.5073440520525	312.685598741716	419.640069193719	372.38770673397
CD4+ Tem	429.061807373939	309.177363954368	141.797790446434	185.437099764865	316.020929598543	116.422072992381	517.323514100426	207.309572666318	424.932414697737	206.075365991593	99.08947184325	234.286732761078	421.505147551498	530.446078638181	294.422133947509	249.670887062698	47.3673086314585	142.925741282219	362.551095602476	146.536027465542	446.331808064949	340.993042344751	332.509221091763	167.197356671533	118.403311159927	198.451954326669	390.865375525019	473.6889397939
CD4+ memory T-cells	776.200839038183	408.50470077318	283.189949912792	141.444713484933	283.298581817034	111.262769353694	466.866277101476	264.659378809157	724.364002106112	418.936749170218	65.2286204400472	244.15676584576	639.728613642705	1091.97738229643	466.537189059407	252.649453798878	54.0183692341104	144.771021969351	524.837485544083	185.216065337396	559.121385108661	402.091694460869	783.273431956155	402.822566793835	169.840209954982	495.188176506615	646.066017622203	917.542371190753
CD4+ naive T-cells	461.012763243709	312.689932684669	221.078483381451	108.251439068136	361.874523683088	181.010595130442	301.948360192166	317.076792832107	687.88885336041	486.242060875349	103.359255996564	515.026336761486	473.830877178867	653.873503086033	302.661336511156	182.716913241134	62.963844663564	116.04116667295	437.522007790214	93.5574158514639	232.970457910805	429.089895046265	557.282080405799	341.061055665488	139.38148686643	537.368667173449	542.797445762484	582.639457652202
CD8+ T-cells	616.18940518123	298.269031613622	242.25186994291	177.490673543002	105.5376439763	161.093631010548	506.388658874559	406.619392520823	783.510339012251	491.19419936504	149.353926828438	593.019887099194	545.140546128937	657.206623513143	444.834516811945	237.75285919431	105.345854980659	170.996432780885	219.705734409856	147.174931273983	469.770653469269	566.497607649944	711.096326855624	414.777912689439	148.755437531056	610.537126812169	577.294474934306	527.852536932895
CD8+ Tcm	923.836399013791	374.586225575987	322.832264473687	102.901668475093	142.42148660023	233.994976703351	744.401326847902	550.443741825495	894.380038681174	547.006193246194	243.294523268464	446.69997861918	694.924840789519	865.522998608734	672.317227867552	274.459536813848	215.760501706024	102.996624595126	210.759704914414	275.882594703388	760.918344813674	708.492670310517	954.155671399291	581.401698267863	308.751840046316	516.428627993967	729.985791412486	772.268293514418
CD8+ Tem	679.909807561262	210.021659324167	437.468218093928	26.9824354502391	166.802148125909	314.45533791831	543.109702855107	737.888934670325	540.432686186267	309.23420623487	293.293636792122	376.984298694641	534.718310390172	341.454200882662	695.268317245396	284.832796879793	296.765794515007	148.231879688226	67.6372834007642	263.464264708683	609.754855573744	738.261868960691	617.786746852404	456.977760879617	330.064698158677	548.739578840885	488.524744094164	418.591707792964
CD8+ naive T-cells	323.409986788486	144.323512771167	239.751113597131	99.6324590134561	28.703401767831	96.9827761476111	273.424085972641	148.375598711797	481.285095139495	178.756804339659	4.2048170836554	256.438123923054	304.666463437617	308.787779075199	85.3459943310595	55.3166238505026	38.8758352254899	67.5590526862307	95.2797915274268	175.719728816095	232.823329136772	193.466664047963	458.076456388754	197.442721585043	111.062361155777	243.051600730284	301.35132939899	183.848000653759
CLP	381.235649802264	264.233282925521	371.826943450709	99.8913056764175	135.248684065198	5.52112948590532	239.75076496934	147.971272840662	414.010810425581	354.192614736825	205.869056351692	187.408532424163	221.974574411511	659.666839407988	150.649843202829	94.0131781231905	114.407346133253	63.7295370046762	247.557651352142	41.8862862634559	217.442333637584	217.25365547339	414.123781817252	297.547700415182	70.6976168193602	87.4609505528078	334.125924631469	570.614875507434
CMP	327.928441354195	347.093535217143	583.639527038234	352.844468820812	543.634621200654	221.989298794045	509.465178427506	290.822677900736	290.591808816808	232.37284381347	678.639710109712	433.373048837207	215.658745346537	185.085288125986	322.985761487811	269.044550871312	677.052065665023	301.799904963186	398.098879922936	241.772149658286	576.615582164447	206.289300990059	332.322095234311	208.34739423059	527.746623424677	319.362802722459	132.237547725985	495.444740250462
Chondrocytes	190.063426489187	156.782986538689	158.489942158091	166.742226343194	206.954668076921	94.4466690712556	110.033282111648	270.992537945026	72.5506330246413	70.7789897362813	190.421373735884	225.207233084277	124.146298110775	99.7626232972996	193.522736715615	184.245128017929	248.879322610268	160.277392692541	103.252766494191	123.143445399288	181.600827887564	173.960089611231	104.5279471068	106.475851769661	213.594744371433	191.183296308825	175.30641393323	98.0593603512714
Class-switched memory B-cells	557.685343505456	222.231064852248	143.074576200213	541.924995168074	413.425467251486	252.197810563513	541.289336529981	51.3287857211633	144.442183884903	304.294081363567	86.683132195694	527.123096562367	361.713675105239	448.240590121118	626.383263103024	191.994654469735	224.108791342948	652.090740912353	408.850165773712	194.172453385386	485.526480854043	166.109655685386	51.6305939074163	330.922434245152	100.593051948183	511.026134782931	404.523097086604	618.264705855906
DC	106.533606329671	653.007805704688	244.244861996998	560.203172375609	939.637394847244	549.057020340962	679.328065843304	516.399589061235	715.422357991001	684.348239363493	1004.69610884943	818.86409721442	650.095910473318	256.639101545916	192.3509949224	765.501772401991	205.654429716595	606.131721221589	863.542303144034	629.264807260384	606.449675139593	539.424391838183	484.697458917165	587.934455567678	876.106596219775	668.344376344719	641.115293735603	191.001718892828
Endothelial cells	35.4362543069021	149.890031997998	237.145445912945	392.955518035732	367.626403063534	290.878968816493	216.329145595149	359.666062128712	59.2650588578459	316.555155890718	426.485705091947	384.533339462963	151.268117043021	33.0629158252488	244.765339167894	269.858549158537	445.751755652744	454.596536350328	210.221769129842	345.56798186462	236.704627282413	328.016829307617	74.1831658767658	350.829094449266	432.300699735801	228.157423268732	180.130280423137	83.3776224889696
Eosinophils	177.934290296743	837.071374580406	523.685965208411	665.820350428991	1179.94009821478	266.110162401425	653.756971980367	314.415353830284	422.958167743998	415.402360720411	1315.70547193884	440.038402126571	380.68169558363	274.673337896739	78.8096635081591	751.904865415216	549.443374809328	374.123451572274	1072.12475424335	349.670922846224	637.503360247584	235.189762519201	449.411314642882	423.93321033571	1234.3763186822	478.863558867321	321.154697959799	582.933233613568
