"","mean_err","sd_err","cohort","modName"
"1",0.21,0.0091,"train","DIABLO_Null"
"2",0.19,NA,"test","DIABLO_Null"
"3",0.22,0.0057,"train","DIABLO_Full"
"4",0.21,NA,"test","DIABLO_Full"
"5",0.15,0.013,"train","Concatenation_sPLSDA"
"6",0.18,NA,"test","Concatenation_sPLSDA"
"7",0.25,0.014,"train","Ensemble_sPLSDA"
"8",0.28,NA,"test","Ensemble_sPLSDA"
"9",0.14,0.0072,"train","Concatenation_Enet"
"10",0.2,NA,"test","Concatenation_Enet"
"11",0.11,0.0016,"train","Ensemble_Enet"
"12",0.23,NA,"test","Ensemble_Enet"
