Composite Element REF,Gene_Symbol,Chromosome,Genomic_Coordinate
cg00000292,ATP2A1,16,28890100
cg00002426,SLMAP,3,57743543
cg00003994,MEOX2,7,15725862
cg00005847,HOXD3,2,177029073
cg00006414,ZNF425;ZNF398,7,148822837
cg00007981,PANX1,11,93862594
cg00008493,COX8C;KIAA1409,14,93813777
cg00008713,IMPA2,18,11980953
cg00009407,TTC8,14,89290921
cg00011459,TMEM186;PMM2,16,8890425
cg00012199,ANG;RNASE4,14,21151024
cg00012386,JMJD4;SNAP47,1,227922512
cg00012792,MUTED,6,8064493
cg00013618,,22,22380839
cg00014085,ELMOD3;RETSAT,2,85581505
cg00014837,ACRBP,12,6757257
cg00015770,QRFPR,4,122302007
cg00016968,RHOC,1,113250448
cg00019495,HOPX,4,57547525
cg00020533,TULP1,6,35480916
cg00021527,TAF15,17,34136180
cg00022606,TBC1D20,20,442445
cg00022866,CCDC88B,11,64108440
cg00024396,ELOVL5,6,53214008
cg00024812,ITGB1BP1;CPSF3,2,9564248
cg00025138,MAP3K9,14,71275917
cg00025991,DIP2C,10,736625
cg00027083,EPB41L3,18,5543801
cg00027674,RAB38,11,87908897
cg00029826,CCNB1IP1,14,20801459
cg00029931,RPL36A,X,100645741
cg00030047,RNF207,1,6268790
cg00031162,TNFSF12;TNFSF12-TNFSF13,17,7453377
cg00032227,TMEM104;NAT9,17,72772512
cg00032666,MAMLD1,X,149613398
cg00033516,FLJ13197;KLF3,4,38666773
cg00033773,MORG1;C19orf56,19,12779366
cg00034039,C9orf85;FAM108B1,9,74526266
cg00035347,NT5C2,10,104953608
cg00035623,UBE2S,19,55919836
cg00037763,SETBP1,18,42281763
cg00037940,PIK3CB,3,138479285
cg00040861,LSM7;SPPL2B,19,2328391
cg00040873,NDUFB10,16,2009157
cg00041575,C11orf21;TSPAN32,11,2322741
cg00042156,LOC84856,10,42970842
cg00043004,NOXO1,16,2030892
cg00043080,PLD3;C19orf47,19,40853155
cg00044245,EPHA7,6,94128889
cg00044729,ENTHD1,22,40290976
cg00047050,CUL5,11,107879431
cg00047469,POLE3;C9orf43,9,116172568
cg00050312,PRKCA,17,64299065
cg00051623,CASP1,11,104907029
cg00051979,C10orf4,10,95462161
cg00053292,TACO1,17,61678300
cg00053647,C7orf28B,7,6866072
cg00054706,C1D,2,68289972
cg00055233,RLN1,9,5339677
cg00056767,CCDC122;C13orf31,13,44453183
cg00057593,GML,8,143916959
cg00058938,TTC9B,19,40724733
cg00059225,GLRA1,5,151304357
cg00059424,PES1,22,30988148
cg00059740,C7orf49,7,134855689
cg00059930,RB1,13,48894382
cg00060762,LEO1,15,52264133
cg00060882,EIF2S3,X,24072811
cg00061059,TECR,19,14640983
cg00061629,ALX4,11,44325258
cg00062776,TULP2,19,49402424
cg00063144,KRT31,17,39554055
cg00065385,ACTL7A,9,111623395
cg00065408,CACNB3,12,49212475
cg00066153,ACRV1,11,125550744
cg00066816,IL12B,5,158758353
cg00067471,ATP5D,19,1241377
cg00069261,CDR2,16,22386531
cg00071250,FASLG,1,172628263
cg00071998,MSH5,6,31708121
cg00072216,MXD4,4,2263638
cg00073650,GALNS;TRAPPC2L,16,88922166
cg00075967,STRA6,15,74495354
cg00076645,UBTD2,5,171711562
cg00077457,ZNF326;LOC492303,1,90460000
cg00077877,ASAP1,8,131414474
cg00078194,MDK,11,46402949
cg00078867,WAS,X,48542398
cg00079056,SUGT1P1;SPINK4,9,33239641
cg00079563,ARFGAP3,22,43253521
cg00080012,EED,11,85955689
cg00081935,TSPAN9,12,3186906
cg00081975,ABCC3,17,48712370
cg00083937,MAPK8IP2,22,51039805
cg00084687,GATAD1,7,92076896
cg00089071,PCGF2,17,36905809
cg00090147,GATA4,8,11562367
cg00091693,KRT20,17,39041602
cg00093177,,17,37185495
cg00094319,PABPC3,13,25670530
cg00094851,KIF3C,2,26205706
cg00095526,CACNA1S,1,201081686
cg00095674,PLEKHO1,1,150122654
cg00096922,DLX5,7,96654185
cg00097536,ZFP36L2;LOC100129726,2,43454476
cg00098162,,10,90619573
cg00098239,PNPLA6,19,7599173
cg00101227,MPZ,1,161280266
cg00103783,MPDU1,17,7487249
cg00105253,NUDT14,14,105647194
cg00105470,C1orf35,1,228290868
cg00107187,TMEM179,14,105070998
cg00107488,COMT;TXNRD2,22,19930437
cg00107632,PGM2,4,37828500
cg00108454,C1QA,1,22963614
cg00109274,DGKH,13,42623032
